BookName,ChapterName,CharacterName,Percentile
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.4706611570247934
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.4727272727272727
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.4752066115702479
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.4834425762325449
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.484297520661157
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.48760330578512395
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.4923258559622196
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.49669421487603305
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.4987012987012987
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.5051652892561983
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.5057851239669422
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.5077134986225895
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.5188429752066116
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.5202479338842975
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.5230224321133412
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.5328512396694215
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.535169880624426
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.5518299881936246
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.5811097992916175
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.5854244928625094
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.5866265965439519
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.5938842975206611
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.6066115702479339
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.6112697220135237
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.6175206611570249
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.6204643841007478
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.6258105530832804
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.6307651292988536
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.6378984651711924
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.6462809917355372
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.6578512396694215
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.673328324567994
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.6925619834710743
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.7054178145087237
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.7356946084218812
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.7380801017164654
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.7429752066115702
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.7488390397481307
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.7523415977961433
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.7570247933884298
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.7652892561983471
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.7772268135904499
"Immortals of Meluha","CHAPTER 1: He has come","shiva",0.7877685950413224
